,.I,.T,.A,.W,.B
1900,1901.0,dynam space share comput system,belady  kuehner ,formal relationship shade program behavior processor effici comput system present concept alloc task defin combin develop singl paramet term valu per unit cost intent illustr possibl analyt approach investig space share demonstr method sampl problem,1969-05-01
1901,1902.0,automat grade scheme simpl program exercis,hext  winings ,discuss give alter make typic univers oper system record result program exercis three differ languag includ assembl languag comput control grade scheme provis make test programm suppli data final run system suppli data exercis run scheme may mix program special recognit exercis oper necessari,1969-05-01
1902,1903.0,chebyshev interpol quadratur formula high degre,salzer ,,1969-05-01
1903,1904.0,rough readi error estim gaussian integr analyt function,rabinowitz ,,1969-05-01
1904,1905.0,simplex method linear program use lu decomposit,bartels  goulub ,standard comput dantzig simplex method linear program base upon form invers basic matrix updat invers everi step method bad round error properti paper give theoret background base upon lu decomposit comput row interchang basic matrix implement slow good round error behavior implement appear cacm algorithm three hundr fifti,1969-05-01
1905,1906.0,autom print circuit rout step apertur,lass ,comput two side print circuit regular pattern termin feed hole describ program give typic upper top virtual e long horizont slit step board plan basi rerout within via maxim effect line usag apertur arriv lower pin delet resolv conflict extens techniqu control crosstalk rout problem obtain one hundr percent interconnect also discus,1969-05-01
1906,1907.0,note reliabl full duplex transmiss half duplex link,bartlett  scantlebury ,simpl achiev reliabl full half duplex link propos scheme compar type recent describ literatur final comment make anoth group relat transmiss procedur show unreli circumst,1969-05-01
1907,1908.0,time share batch process experiment comparison valu problem solv situat,gold ,experiment comparison problem solv use batch process comput conduct mit describ paper studi first know attempt evalu two may well predomin popul within next decad profession nonprogramm use comput aid decis make problem solv rather program end statist logic signific result indic equal cost usag two comput system howev much high level perform attain indic significantli low cost would result time share stop work reach perform level equal batch user user speed problem solv attitud make time share favor system,1969-05-01
1908,1909.0,comput jn x numer integr,stroud  kohli ,show practic comput jn x numer integr represent use trapezoid rule error approxim studi empir,1969-04-01
1909,1910.0,algorithm solv special class tridiagon system linear equat,rose ,present linear equat u k b tridiagon special form show algorithm almost twice fast gaussian elimin method usual suggest solv system addit explicit formula invers determin matrix b give,1969-04-01
1910,1911.0,coordin reduct sentenc analysi,petrick  postal  rosenbaum ,coordin phenomenon natur languag consid within frame work theori account phenomena propos ad compon transform machineri includ certain rule schema appli condit determin sequenc subtre perform solut syntact analysi problem class grammar outlin precis specif gener procedur paper invers give form lisp function definit,1969-04-01
1911,1912.0,simul outpati appoint system,katz ,experiment comput program describ employ outpati depart hospit major kind individu block purpos simul enabl user evalu effect altern appoint system give clinic environ,1969-04-01
1912,1913.0,polygamma function arbitrari precis algorithm three hundr forti nine fourteen,schwachheim ,,1969-04-01
1913,1914.0,matrix scale integ program algorithm three hundr forti eight f one,klimpel ,,1969-04-01
1914,1915.0,algorithm hidden line elimin,galimberti  montanari ,present caus elimin hidden line represent perspect view convex face pictur sequenti plane hide everi find comput time increas roughli squar edg algorithm take advantag reduc number automat recogn one object concav point consid last case result obtain much simple way,1969-04-01
1915,1916.0,analysi boolean program model time share page environ,lowe ,direct graph associ matric frequent use repres logic structur sequenc comput instruct techniqu use addit data refer repres nondirect complet structur specif program repres combin transform combin yield new model addit time inform also contain analysi model prior execut yield inform valuabl determin segment instruct data time share environ well initi page load execut analysi may use look ahead control page turn,1969-04-01
1916,1917.0,algol procedur fast fourier transform arbitrari factor algorithm three hundr thirti nine c six,singleton ,,1969-03-01
1917,1918.0,distribut indistinguish object distinguish slot algorithm three hundr twenti nine g six,gray ,,1969-03-01
1918,1919.0,effici algorithm sort minim storag algorithm three hundr forti seven one,singleton ,,1969-03-01
1919,1920.0,f test probabl algorithm three hundr forti six fourteen,morris ,,1969-03-01
1920,1921.0,algol convolut procedur base fast fourier transform algorithm three hundr forti five c six,singleton ,,1969-03-01
1921,1922.0,propos usa standard data commun control procedur usa standarad code inform interchang,,,1969-03-01
